City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
336,Sabang,ID,81.12,light rain,5.89,95.32,Hotel Citra
337,Itarema,BR,80.6,few clouds,-2.92,-39.92,Windvillage
346,Bajil,YE,81.61,clear sky,15.06,43.29,شبكة ماكس نت MAX WIFI
351,Moindou,NC,77.0,mist,-21.69,165.68,Gite de la RYAWA
357,Witu,KE,86.0,few clouds,-2.39,40.44,New City Guest House
358,Souillac,MU,82.4,shower rain,-20.52,57.52,Bils' Villa
363,Labuhan,ID,84.65,broken clouds,-6.88,112.21,bador sepret
365,Sinnamary,GF,76.75,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
367,Saldanha,ZA,80.6,clear sky,-33.01,17.94,Blue Bay Lodge
370,Hambantota,LK,80.6,light rain,6.12,81.12,Bungalow 63
376,Lira,UG,82.09,overcast clouds,2.23,32.91,ST Lira Hotel Limited
