City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
73,Catamarca,AR,12/24/2020 2:58,-28.47,-65.79,71.01,56,8,11.61
74,Georgetown,MY,12/24/2020 2:57,5.41,100.34,84.2,83,20,2.24
75,Hobart,AU,12/24/2020 2:58,-42.88,147.33,62.6,42,75,8.05
76,Esperance,AU,12/24/2020 2:58,-33.87,121.9,82.4,34,0,10.29
77,Brownwood,US,12/24/2020 2:54,31.71,-98.99,44.6,28,90,20.8
78,Kalmunai,LK,12/24/2020 2:58,7.42,81.82,77.79,87,99,10.2
79,Yuanping,CN,12/24/2020 2:58,38.72,112.76,22.19,66,0,3.51
80,Yar-Sale,RU,12/24/2020 2:58,66.83,70.83,-31.77,84,95,9.4
81,Cabra,ES,12/24/2020 2:58,37.47,-4.44,52,83,71,0.72
82,Lompoc,US,12/24/2020 2:58,34.64,-120.46,51.8,81,1,3.11
83,Busselton,AU,12/24/2020 2:58,-33.65,115.33,85.01,28,6,10.56
84,Baykit,RU,12/24/2020 2:58,61.67,96.37,-32.73,77,9,2.55
85,Evensk,RU,12/24/2020 2:58,61.95,159.23,-32.15,70,0,6.29
86,Almonte,ES,12/24/2020 2:58,37.26,-6.52,52,84,86,5.97
87,Provideniya,RU,12/24/2020 2:58,64.38,-173.3,19.4,79,90,13.42
88,Kenai,US,12/24/2020 2:58,60.55,-151.26,35.01,74,20,6.93
89,La Ciotat,FR,12/24/2020 2:58,43.17,5.6,54,96,99,8.34
90,Sakaraha,MG,12/24/2020 2:58,-22.9,44.53,76.5,77,10,1.3
91,Marzuq,YE,12/24/2020 2:58,14.4,46.47,55.85,51,0,1.97
92,Moa,CU,12/24/2020 2:58,20.66,-74.94,76.41,82,16,15.14
93,Kampong Chhnang,KH,12/24/2020 2:58,12.17,104.55,82.83,65,29,10.31
94,Chuy,UY,12/24/2020 2:58,-33.7,-53.46,62.17,92,0,8.05
95,Nikolskoye,RU,12/24/2020 2:58,59.7,30.79,34,92,75,6.71
96,Mataura,NZ,12/24/2020 2:58,-46.19,168.86,59,71,8,15.99
97,Ribeira Grande,PT,12/24/2020 2:58,38.52,-28.7,56.53,62,8,14.7
98,Fukue,JP,12/24/2020 2:58,32.69,128.84,51.8,93,75,2.24
99,Billerica,US,12/24/2020 2:58,42.56,-71.27,30,73,1,4.79
100,Roma,US,12/24/2020 2:55,43.21,-75.46,33.01,72,100,13.04
101,Itaituba,BR,12/24/2020 2:58,-4.28,-55.98,77.4,76,96,0.22
102,Namatanai,PG,12/24/2020 2:58,-3.67,152.43,84.38,75,94,5.23
103,Talakan,RU,12/24/2020 2:58,50.32,130.37,-5.3,83,0,6.67
104,Santa Cruz,BO,12/24/2020 2:58,-17.8,-63.17,78.8,88,75,5.82
105,Lerwick,GB,12/24/2020 2:58,60.15,-1.15,33.8,74,33,13.87
106,Whithorn,JM,12/24/2020 2:58,18.26,-78.04,78.8,83,20,5.82
107,Ornskoldsvik,SE,12/24/2020 2:58,63.29,18.72,32,97,78,9.17
108,Morondava,MG,12/24/2020 2:58,-20.28,44.28,81.7,75,0,4.23
109,Bluff,NZ,12/24/2020 2:58,-46.6,168.33,59,71,2,15.99
110,Pevek,RU,12/24/2020 2:58,69.7,170.31,-3.57,90,100,0.89
111,Krasnoselkup,RU,12/24/2020 2:58,65.7,82.47,-43.58,78,36,6.62
112,Kumluca,TR,12/24/2020 2:58,36.37,30.29,54.28,41,0,4.5
113,Makakilo City,US,12/24/2020 2:58,21.35,-158.09,80.6,54,1,6.93
114,Hasaki,JP,12/24/2020 2:55,35.73,140.83,54,50,75,5.82
115,Puerto Cabezas,NI,12/24/2020 2:58,14.04,-83.39,75.63,89,0,7.18
116,Tashtagol,RU,12/24/2020 2:58,52.77,87.89,16.43,94,100,14.23
117,Torbay,CA,12/24/2020 2:58,47.67,-52.73,32,94,90,12.75
118,Kaitangata,NZ,12/24/2020 2:58,-46.28,169.85,64,46,30,8.01
119,Tupik,RU,12/24/2020 2:58,54.43,119.93,-13.54,85,87,1.92
120,Sechura,PE,12/24/2020 2:58,-5.56,-80.82,70.29,76,100,12.21
121,Puerto Ayora,EC,12/24/2020 2:58,-0.74,-90.35,73,92,52,4
122,Hyeres,FR,12/24/2020 2:58,43.12,6.12,57.2,87,90,9.17
123,Grand Gaube,MU,12/24/2020 2:58,-20.01,57.66,77,84,8,10
124,Luderitz,NA,12/24/2020 2:58,-26.65,15.16,65.25,55,0,21.07
125,Xichang,CN,12/24/2020 2:58,27.9,102.26,53.01,51,96,1.59
126,Abdanan,IR,12/24/2020 2:58,32.99,47.42,44.11,70,45,1.72
127,Krasnyy Luch,UA,12/24/2020 2:58,48.14,38.94,20.25,97,78,5.82
128,Bredasdorp,ZA,12/24/2020 2:58,-34.53,20.04,60.8,87,100,4.9
129,Filadelfia,US,12/24/2020 2:57,39.95,-75.16,41,69,75,3.36
130,Khatanga,RU,12/24/2020 2:58,71.97,102.5,-26.68,85,99,9.06
131,Corn Island,NI,12/24/2020 2:58,12.17,-83.04,81.7,80,0,15.57
132,Ambon,ID,12/24/2020 2:58,-3.7,128.18,86,70,40,12.75
133,Kununurra,AU,12/24/2020 2:55,-15.77,128.73,89.6,70,40,11.41
134,Suket,IN,12/24/2020 2:58,24.65,76.03,60.22,41,0,2.24
135,Narsaq,GL,12/24/2020 2:58,60.92,-46.05,35.6,80,100,2.24
136,Clyde River,CA,12/24/2020 2:58,70.47,-68.59,-9.4,83,0,18.34
137,East London,ZA,12/24/2020 2:58,-33.02,27.91,70.07,68,56,16.26
138,Tutoia,BR,12/24/2020 2:58,-2.76,-42.27,80.58,77,100,13.31
139,Walvis Bay,NA,12/24/2020 2:58,-22.96,14.51,63,90,0,2.62
140,Talavera De La Reina,ES,12/24/2020 2:58,39.96,-4.83,48.85,92,100,1.19
141,Binabalian,PH,12/24/2020 2:58,16.42,119.93,82.26,73,0,7.38
142,Bambous Virieux,MU,12/24/2020 2:58,-20.34,57.76,77,83,75,12.75
143,Big Spring,US,12/24/2020 2:58,32.25,-101.48,37.4,29,90,19.46
